hhid	mauzaid	setid	panel_settlement	hh_gps_north	hh_gps_east	district
62578	1	1	8	33.69192	72.45477	"ATTOCK"
62469	1	1	7	33.68903	72.44942	"ATTOCK"
62328	1	1	7	33.6993	72.44669	"ATTOCK"
62498	1	1	8	33.68938	72.4491	"ATTOCK"
62499	1	1	8	33.6891	72.447	"ATTOCK"
62477	1	1	7	33.71643	72.44282	"ATTOCK"
62559	1	2	6	33.69275	72.45438	"ATTOCK"
70385	1	2	6	33.69433	72.4547	"ATTOCK"
70382	1	2	6	33.69337	72.45395	"ATTOCK"
62420	1	2	6	33.69472	72.4551	"ATTOCK"
62419	1	2	6	33.6925	72.45415	"ATTOCK"
70599	1	2	6	33.70028	72.4655	"ATTOCK"
62623	1	2	6	33.69077	72.45168	"ATTOCK"
70680	1	99	4	33.68882	72.4489	"ATTOCK"
70723	1	99	10	33.6924	72.44822	"ATTOCK"
70689	1	99	4	33.68941	72.4498	"ATTOCK"
37087	2	1	2	33.77775	72.25225	"ATTOCK"
37091	2	1	2	33.77778	72.2538	"ATTOCK"
37082	2	1	2	33.77717	72.25252	"ATTOCK"
37044	2	1	2	33.77598	72.24982	"ATTOCK"
37081	2	1	2	33.77711	72.25198	"ATTOCK"
37045	2	1	2	33.77598	72.24983	"ATTOCK"
37155	2	2	1	33.77157	72.25432	"ATTOCK"
37127	2	2	1	33.768	72.25954	"ATTOCK"
37168	2	2	1	33.77127	72.25465	"ATTOCK"
37173	2	2	1	33.77222	72.25439	"ATTOCK"
37163	2	2	1	33.77207	72.25412	"ATTOCK"
37153	2	2	1	33.77177	72.25414	"ATTOCK"
37129	2	2	1	33.77157	72.25432	"ATTOCK"
37177	2	2	1	33.76797	72.25951	"ATTOCK"
37003	2	2	1	33.76823	72.25888	"ATTOCK"
59767	3	1	4	33.72433	72.37881	"ATTOCK"
60339	3	1	3	33.7131	72.36758	"ATTOCK"
60375	3	1	3	33.72502	72.38185	"ATTOCK"
60371	3	1	3	33.72912	72.37292	"ATTOCK"
60384	3	1	3	33.72877	72.37241	"ATTOCK"
60352	3	1	3	33.72545	72.38393	"ATTOCK"
60382	3	1	3	33.7288	72.37241	"ATTOCK"
59766	3	1	4	33.7245	72.37888	"ATTOCK"
59879	3	1	6	33.71863	72.37637	"ATTOCK"
59862	3	1	6	33.71268	72.36823	"ATTOCK"
59861	3	1	6	33.71318	72.36843	"ATTOCK"
60294	3	1	2	33.75015	72.36653	"ATTOCK"
60323	3	1	3	33.71302	72.36758	"ATTOCK"
59867	3	1	6	33.71315	72.36852	"ATTOCK"
59848	3	99	7	33.72445	72.3786	"ATTOCK"
59713	3	99	5	33.72622	72.3648	"ATTOCK"
61808	4	1	17	33.68415	72.41697	"ATTOCK"
44825	4	1	8	33.71648	72.44221	"ATTOCK"
44613	4	1	4	33.69812	72.4147	"ATTOCK"
44745	4	1	7	33.69883	72.4139	"ATTOCK"
44611	4	1	4	33.69913	72.41382	"ATTOCK"
44826	4	1	8	33.71623	72.44282	"ATTOCK"
44768	4	1	7	33.69316	72.45305	"ATTOCK"
44761	4	1	7	33.69823	72.41347	"ATTOCK"
44806	4	1	8	33.71897	72.43266	"ATTOCK"
62244	4	2	1	33.71895	72.41119	"ATTOCK"
62263	4	2	1	33.72095	72.41022	"ATTOCK"
61854	4	99	18	33.70225	72.37883	"ATTOCK"
44492	4	99	3	33.70123	72.41418	"ATTOCK"
61776	4	99	15	33.68168	72.4139	"ATTOCK"
61633	4	99	12	33.69748	72.45388	"ATTOCK"
22243	5	1	11	33.81078	72.59192	"ATTOCK"
23113	5	1	7	33.8131	72.59576	"ATTOCK"
22985	5	1	9	33.81657	72.58907	"ATTOCK"
83083	5	1	6	33.81233	72.5337	"ATTOCK"
21826	5	1	5	33.81353	72.58681	"ATTOCK"
22943	5	1	9	33.81645	72.62576	"ATTOCK"
83057	5	1	6	33.8136	72.59299	"ATTOCK"
22122	5	1	7	33.81265	72.58891	"ATTOCK"
22963	5	1	9	33.81715	72.58815	"ATTOCK"
23096	5	1	7	33.8135	72.59309	"ATTOCK"
22156	5	1	8	33.81372	72.5856	"ATTOCK"
83092	5	1	7	33.81256	72.58308	"ATTOCK"
23240	5	99	0	33.81075	72.59375	"ATTOCK"
22880	5	99	0	33.81642	72.62572	"ATTOCK"
22836	5	99	0	33.80708	72.62267	"ATTOCK"
23196	5	99	0	33.8082	72.59431	"ATTOCK"
86087	6	1	4	33.51067	72.38068	"ATTOCK"
86057	6	1	4	33.51083	72.3827	"ATTOCK"
85818	6	1	3	33.514	72.38233	"ATTOCK"
85805	6	1	3	33.51482	72.38178	"ATTOCK"
86059	6	1	4	33.5116	72.38133	"ATTOCK"
85804	6	1	3	33.51435	72.38293	"ATTOCK"
85859	6	99	1	33.5287	72.38387	"ATTOCK"
85853	6	99	1	33.5262	72.38763	"ATTOCK"
85891	6	99	2	33.5313	72.35522	"ATTOCK"
85855	6	99	1	33.52942	72.34769	"ATTOCK"
85883	6	99	2	33.51798	72.36382	"ATTOCK"
33843	7	1	6	33.8416	72.27742	"ATTOCK"
33641	7	1	5	33.84263	72.27455	"ATTOCK"
34344	7	1	3	33.8417	72.27613	"ATTOCK"
34311	7	1	3	33.83712	72.27383	"ATTOCK"
33791	7	1	6	33.83715	72.26935	"ATTOCK"
33787	7	1	6	33.84172	72.27615	"ATTOCK"
33682	7	1	5	33.83797	72.27654	"ATTOCK"
33775	7	1	6	33.83358	72.27052	"ATTOCK"
34350	7	99	2	33.83795	72.27652	"ATTOCK"
34306	7	99	2	33.84162	72.27744	"ATTOCK"
33711	7	99	4	33.84057	72.2758	"ATTOCK"
34390	7	99	1	33.83577	72.27341	"ATTOCK"
33708	7	99	4	33.84158	72.2774	"ATTOCK"
34402	7	99	1	33.83723	72.26945	"ATTOCK"
34398	7	99	1	33.83575	72.2734	"ATTOCK"
21349	8	1	1	33.2039	72.3439	"ATTOCK"
21466	8	1	3	33.202	72.34515	"ATTOCK"
21391	8	1	8	33.20233	72.35165	"ATTOCK"
21426	8	1	6	33.20175	72.3465	"ATTOCK"
21344	8	1	1	33.20145	72.3423	"ATTOCK"
20916	8	1	6	33.20298	72.34392	"ATTOCK"
20903	8	1	6	33.2028	72.34358	"ATTOCK"
21432	8	1	5	33.20205	72.34607	"ATTOCK"
20919	8	1	6	33.20162	72.34216	"ATTOCK"
21468	8	1	3	33.20201	72.34362	"ATTOCK"
21382	8	1	8	33.20278	72.3481	"ATTOCK"
20858	8	99	9	33.2067	72.3335	"ATTOCK"
21377	8	99	10	33.18632	72.36932	"ATTOCK"
21361	8	99	13	33.20642	72.34187	"ATTOCK"
21367	8	99	13	33.20747	72.34215	"ATTOCK"
21368	8	99	13	33.20747	72.34215	"ATTOCK"
52570	9	1	4	33.9255	72.3526	"ATTOCK"
52456	9	1	4	33.9256	72.35502	"ATTOCK"
53670	9	1	11	33.92845	72.35738	"ATTOCK"
52922	9	1	15	33.91555	72.3581	"ATTOCK"
52971	9	1	15	33.9118	72.35371	"ATTOCK"
52854	9	1	13	33.91692	72.3592	"ATTOCK"
53639	9	1	11	33.92602	72.35633	"ATTOCK"
52995	9	1	15	33.91152	72.35242	"ATTOCK"
53116	9	1	15	33.91273	72.3534	"ATTOCK"
53730	9	1	7	33.92128	72.35803	"ATTOCK"
52934	9	1	15	33.91663	72.35525	"ATTOCK"
52723	9	1	12	33.91905	72.3558	"ATTOCK"
53908	9	1	9	33.92132	72.3581	"ATTOCK"
52992	9	1	15	33.92572	72.35242	"ATTOCK"
52501	9	99	6	33.92572	72.3543	"ATTOCK"
53085	9	99	17	33.91183	72.34248	"ATTOCK"
45771	11	1	5	33.77467	72.47407	"ATTOCK"
45504	11	1	3	33.78782	72.47915	"ATTOCK"
45750	11	1	5	33.78308	72.47427	"ATTOCK"
45587	11	1	4	33.78677	72.48186	"ATTOCK"
45494	11	1	3	33.78628	72.48148	"ATTOCK"
45483	11	1	3	33.78687	72.4808	"ATTOCK"
45428	11	1	3	33.79296	72.48188	"ATTOCK"
45640	11	1	5	33.78707	72.48185	"ATTOCK"
45445	11	1	3	33.79173	72.48205	"ATTOCK"
45400	11	1	2	33.79085	72.48047	"ATTOCK"
45388	11	1	2	33.79188	72.48202	"ATTOCK"
45376	11	1	1	33.79395	72.4815	"ATTOCK"
45515	11	1	3	33.78755	72.48138	"ATTOCK"
46108	11	99	6	33.78456	72.48655	"ATTOCK"
46191	11	99	8	33.7828	72.48552	"ATTOCK"
46222	11	99	8	33.77737	72.48495	"ATTOCK"
46270	11	99	0	33.77737	72.48495	"ATTOCK"
95265	12	1	1	33.52335	72.51335	"ATTOCK"
28740	12	2	6	33.51487	72.51398	"ATTOCK"
28655	12	2	5	33.503	72.51978	"ATTOCK"
28672	12	2	5	33.52217	72.51299	"ATTOCK"
28659	12	2	5	33.50883	72.53101	"ATTOCK"
28744	12	2	5	33.52343	72.51352	"ATTOCK"
95303	12	3	2	33.50853	72.51788	"ATTOCK"
95276	12	3	2	33.50628	72.52122	"ATTOCK"
28618	12	99	3	33.50932	72.52132	"ATTOCK"
28867	12	99	3	33.50303	72.5198	"ATTOCK"
95319	12	99	8	33.50885	72.5312	"ATTOCK"
48558	13	1	5	33.9442	72.45615	"ATTOCK"
48781	13	1	5	33.95908	72.4451	"ATTOCK"
48733	13	1	5	33.94325	72.45405	"ATTOCK"
48552	13	1	5	33.94378	72.45596	"ATTOCK"
48589	13	1	5	33.94437	72.45309	"ATTOCK"
48746	13	1	5	33.95945	72.44718	"ATTOCK"
48705	13	1	5	33.96008	72.44456	"ATTOCK"
48698	13	1	5	33.95872	72.44587	"ATTOCK"
48860	13	2	2	33.95862	72.44452	"ATTOCK"
48865	13	2	1	33.95735	72.44282	"ATTOCK"
48793	13	2	1	33.95512	72.44248	"ATTOCK"
48763	13	2	2	33.95687	72.4447	"ATTOCK"
48509	13	2	3	33.96032	72.44872	"ATTOCK"
48647	13	2	3	33.96022	72.4487	"ATTOCK"
48856	13	2	2	33.95837	72.44445	"ATTOCK"
48682	13	3	4	33.9595	72.44611	"ATTOCK"
19279	14	1	3	33.26568	72.29298	"ATTOCK"
19716	14	1	8	33.2653	72.29527	"ATTOCK"
