Code 1,Code 1 num,,Code Set 2,Num,Status from Hamza,Babur
Abbasi,11,,ABBASI,2,Mid,Medium
Ansari,5,,ANSARI,3,Low,Low
Arain,1,,AARAIN,1,High,Medium
Awan,9,,AWAAN,4,High,High
Baloch,13,,BALOCH,5,Low,Low
Butt,17,,BUTT,6,Mid,Medium
Chachar,20,,CHACHAR,7,,
Dhobi/Lohar/Mochi/Nai,23,,,,,Low
Gujjar,2,,GUJJAR,8,High,Medium
Hashmi/Qureshi,15,,QURESHI,16,Low,Medium
Jat,6,,JAT,9,High,High
Kharar,25,,,,,
Lar,10,,LAAR,10,,
Mohana,14,,MOHANA,11,,Low
Mughal,18,,MUGHAL,12,Low,Low
Muslim Shiekh,22,,MUSLIM SHEIKH,13,Low,Low
Naich,3,,NAICH,14,,High
Non muslim,24,,,,,
,,,,,,
Pathan,7,,PATHAN,15,Mid,Low
Rajput/Bhatti,19,,RAJPUT,17,High,High
Samejha,4,,SAMIJA,19,,
Shiekh,8,,SHEIKH,20,High,Low
Solangi,12,,SOLANGI,21,,Low
Syed,16,,SYED,22,High,High
,,,,,,
Other,26,,OTHER,23,,
,,,,,,
,,,REHMANI,18,Low,
